customer_id,signup_date,plan_type,region,monthly_fee
1001,2025-11-01,Basic,North,38
1002,2025-03-01,Plus,North,73
1003,2025-01-01,Basic,North,37
1004,2025-01-01,Plus,South,62
1005,2025-10-01,Premium,East,112
1006,2025-07-01,Basic,East,36
1007,2025-02-01,Basic,West,41
1008,2026-01-01,Plus,North,67
1009,2025-09-01,Premium,East,96
1010,2025-12-01,Basic,North,37
1011,2025-04-01,Basic,North,44
1012,2025-06-01,Basic,South,36
1013,2025-11-01,Plus,North,72
1014,2025-04-01,Plus,South,75
1015,2025-09-01,Plus,South,62
1016,2025-01-01,Basic,East,32
1017,2025-10-01,Basic,East,45
1018,2025-11-01,Basic,West,34
1019,2025-09-01,Plus,East,73
1020,2025-06-01,Premium,South,105
1021,2025-02-01,Premium,North,95
1022,2026-01-01,Plus,West,67
1023,2025-08-01,Premium,East,111
1024,2025-09-01,Plus,East,58
1025,2025-07-01,Plus,South,71
1026,2025-03-01,Premium,North,106
1027,2025-10-01,Basic,South,35
1028,2026-01-01,Plus,North,55
1029,2025-06-01,Basic,East,37
1030,2025-02-01,Plus,North,72
