customer_id,status,cancel_date
1001,churned,2026-02-01
1002,active,
1003,churned,2026-03-01
1004,active,
1005,active,
1006,churned,2026-03-01
1007,active,
1008,active,
1009,active,
1010,churned,2025-12-01
1011,churned,2026-03-01
1012,active,
1013,churned,2025-08-01
1014,churned,2026-04-01
1015,active,
1016,active,
1017,churned,2025-07-01
1018,churned,2025-07-01
1019,active,
1020,churned,2025-10-01
1021,churned,2026-02-01
1022,churned,2025-09-01
1023,active,
1024,active,
1025,active,
1026,churned,2026-02-01
1027,active,
1028,churned,2025-08-01
1029,active,
1030,churned,2026-01-01
