customer_id,month,sessions,avg_session_minutes,support_tickets
1001,2026-01-01,4,21,2
1001,2026-02-01,0,23,5
1002,2026-01-01,6,26,1
1002,2026-02-01,11,10,1
1002,2026-03-01,9,20,2
1002,2026-04-01,7,20,0
1003,2026-01-01,17,23,4
1003,2026-02-01,0,26,2
1003,2026-03-01,8,21,4
1004,2026-01-01,12,21,2
1004,2026-02-01,12,15,1
1004,2026-03-01,6,2,3
1004,2026-04-01,13,15,1
1005,2026-01-01,11,14,4
1005,2026-02-01,9,15,0
1005,2026-03-01,12,12,0
1005,2026-04-01,14,15,1
1006,2026-01-01,8,21,4
1006,2026-02-01,6,13,5
1006,2026-03-01,11,17,6
1007,2026-01-01,6,12,1
1007,2026-02-01,6,19,2
1007,2026-03-01,7,11,0
1007,2026-04-01,11,13,3
1008,2026-01-01,11,17,0
1008,2026-02-01,14,21,1
1008,2026-03-01,11,23,3
1008,2026-04-01,6,23,0
1009,2026-01-01,16,28,0
1009,2026-02-01,9,27,0
1009,2026-03-01,18,18,0
1009,2026-04-01,17,20,0
1011,2026-01-01,7,18,2
1011,2026-02-01,6,9,2
1011,2026-03-01,8,24,4
1012,2026-01-01,11,27,1
1012,2026-02-01,11,20,2
1012,2026-03-01,8,18,0
1012,2026-04-01,8,26,1
1014,2026-01-01,7,19,1
1014,2026-02-01,13,8,0
1014,2026-03-01,6,13,2
1014,2026-04-01,10,19,5
1015,2026-01-01,6,26,0
1015,2026-02-01,10,22,3
1015,2026-03-01,13,22,0
1015,2026-04-01,8,15,3
1016,2026-01-01,6,27,2
1016,2026-02-01,9,14,2
1016,2026-03-01,6,25,1
1016,2026-04-01,12,7,2
1019,2026-01-01,15,28,3
1019,2026-02-01,11,14,2
1019,2026-03-01,7,14,3
1019,2026-04-01,10,19,1
1021,2026-01-01,12,26,0
1021,2026-02-01,9,24,0
1023,2026-01-01,18,4,0
1023,2026-02-01,19,28,2
1023,2026-03-01,20,17,1
1023,2026-04-01,8,21,0
1024,2026-01-01,14,12,1
1024,2026-02-01,8,16,1
1024,2026-03-01,10,24,0
1024,2026-04-01,9,8,1
1025,2026-01-01,7,26,2
1025,2026-02-01,8,22,2
1025,2026-03-01,6,15,2
1025,2026-04-01,7,20,1
1026,2026-01-01,11,4,3
1026,2026-02-01,7,4,2
1027,2026-01-01,6,18,2
1027,2026-02-01,7,24,0
1027,2026-03-01,6,11,2
1027,2026-04-01,9,24,4
1029,2026-01-01,5,18,2
1029,2026-02-01,4,16,1
1029,2026-03-01,13,17,0
1029,2026-04-01,9,20,3
1030,2026-01-01,8,4,3
