sales_month,region,total_revenue,gross_margin,revenue_target,variance,variance_pct
2026-01-01,North,230195,87890,275949,-45754,-0.16580600038412896
2026-01-01,West,207122,76164,273640,-66518,-0.2430858061686888
2026-01-01,East,193454,71213,319776,-126322,-0.39503277294105876
2026-02-01,West,257088,96814,296108,-39020,-0.13177624380293676
2026-02-01,North,198034,74772,283110,-85076,-0.3005051040231712
2026-02-01,East,234165,81454,345811,-111646,-0.32285265650890227
2026-03-01,North,195542,75016,268459,-72917,-0.27161316998126345
2026-03-01,West,186574,72303,269956,-83382,-0.3088725570092904
2026-03-01,East,234336,87320,372642,-138306,-0.37114978987875763
2026-04-01,North,215494,78145,287829,-72335,-0.25131241118858766
2026-04-01,West,179665,63916,307650,-127985,-0.4160084511620348
2026-04-01,East,180010,64551,343194,-163184,-0.47548616817310324
2026-05-01,North,225305,89457,286177,-60872,-0.21270752017108294
2026-05-01,East,233251,88146,354823,-121572,-0.3426271690392111
2026-05-01,West,157373,59107,296706,-139333,-0.4695995362412624
2026-06-01,West,220639,85323,293333,-72694,-0.24782073615992745
2026-06-01,North,218714,83556,324522,-105808,-0.3260426103623175
2026-06-01,East,242795,89778,395242,-152447,-0.38570546652430665
