order_id,order_date,region,channel,product_category,revenue,cost
50001,2026-01-21,East,Online,Services,17426,10075
50002,2026-01-08,East,Retail,Core,27813,18443
50003,2026-01-04,East,Online,Services,15986,9099
50004,2026-01-19,East,Retail,Accessories,7539,6120
50005,2026-01-02,East,Retail,Core,27189,17212
50006,2026-01-19,East,Retail,Core,26924,16845
50007,2026-01-25,East,Partner,Core,23636,15285
50008,2026-01-15,East,Online,Accessories,11191,9198
50009,2026-01-25,East,Online,Services,20980,11076
50010,2026-01-18,East,Online,Services,14770,8888
50011,2026-01-16,West,Retail,Services,16516,9500
50012,2026-01-23,West,Retail,Core,29576,18507
50013,2026-01-23,West,Retail,Core,27463,16809
50014,2026-01-06,West,Online,Accessories,14091,10636
50015,2026-01-24,West,Retail,Core,20090,11919
50016,2026-01-13,West,Online,Core,26870,16778
50017,2026-01-14,West,Retail,Services,15421,9127
50018,2026-01-03,West,Partner,Accessories,13698,9919
50019,2026-01-19,West,Online,Core,22437,14812
50020,2026-01-20,West,Online,Core,20960,12951
50021,2026-01-20,North,Retail,Services,19627,11940
50022,2026-01-13,North,Retail,Accessories,12833,9768
50023,2026-01-07,North,Online,Core,26033,15477
50024,2026-01-19,North,Online,Core,29512,17497
50025,2026-01-28,North,Online,Core,25394,15088
50026,2026-01-12,North,Online,Core,30097,19093
50027,2026-01-10,North,Retail,Core,24956,15662
50028,2026-01-27,North,Online,Core,25029,15697
50029,2026-01-05,North,Retail,Core,20507,12654
50030,2026-01-28,North,Retail,Services,16207,9429
50031,2026-02-25,East,Online,Services,16729,9128
50032,2026-02-26,East,Online,Core,29784,18921
50033,2026-02-13,East,Retail,Accessories,12957,10722
50034,2026-02-01,East,Retail,Core,27225,17576
50035,2026-02-20,East,Partner,Accessories,8873,7361
50036,2026-02-08,East,Partner,Core,32605,19579
50037,2026-02-20,East,Online,Core,26716,17041
50038,2026-02-22,East,Partner,Core,31350,20346
50039,2026-02-06,East,Online,Core,33668,21053
50040,2026-02-13,East,Online,Accessories,14258,10984
50041,2026-02-05,West,Retail,Core,19568,11388
50042,2026-02-12,West,Retail,Core,27302,17473
50043,2026-02-24,West,Online,Core,19244,12209
50044,2026-02-09,West,Partner,Core,21385,12515
50045,2026-02-18,West,Online,Core,31999,19570
50046,2026-02-19,West,Online,Core,31590,20141
50047,2026-02-18,West,Partner,Core,31840,19207
50048,2026-02-01,West,Online,Core,26440,16838
50049,2026-02-02,West,Retail,Core,19299,12304
50050,2026-02-18,West,Online,Core,28421,18629
50051,2026-02-15,North,Online,Core,20208,12767
50052,2026-02-17,North,Retail,Accessories,9430,7620
50053,2026-02-26,North,Retail,Core,22072,13976
50054,2026-02-18,North,Retail,Services,15914,9841
50055,2026-02-13,North,Partner,Core,26355,15789
50056,2026-02-22,North,Online,Core,23723,14343
50057,2026-02-09,North,Online,Core,33224,20090
50058,2026-02-16,North,Partner,Services,14089,7763
50059,2026-02-13,North,Online,Accessories,7916,6271
50060,2026-02-11,North,Online,Core,25103,14802
50061,2026-03-20,East,Retail,Core,19180,12150
50062,2026-03-04,East,Online,Services,18223,11212
50063,2026-03-05,East,Online,Core,35608,22823
50064,2026-03-05,East,Partner,Services,18085,9977
50065,2026-03-09,East,Retail,Core,27364,16348
50066,2026-03-01,East,Online,Accessories,15434,11479
50067,2026-03-09,East,Retail,Services,16398,8354
50068,2026-03-09,East,Partner,Core,26237,17363
50069,2026-03-06,East,Retail,Core,31056,20438
50070,2026-03-25,East,Online,Core,26751,16872
50071,2026-03-26,West,Online,Core,31023,19144
50072,2026-03-07,West,Online,Core,19516,12427
50073,2026-03-16,West,Retail,Core,24524,15748
50074,2026-03-11,West,Retail,Services,15035,7939
50075,2026-03-12,West,Online,Services,15279,8431
50076,2026-03-06,West,Partner,Services,16656,9242
50077,2026-03-10,West,Online,Accessories,14041,11244
50078,2026-03-09,West,Retail,Accessories,9454,6707
50079,2026-03-08,West,Online,Core,25010,15368
50080,2026-03-11,West,Online,Services,16036,8021
50081,2026-03-17,North,Online,Core,28923,17640
50082,2026-03-19,North,Retail,Core,31335,19445
50083,2026-03-19,North,Online,Core,25337,15081
50084,2026-03-11,North,Partner,Services,19498,11488
50085,2026-03-27,North,Retail,Core,22618,13312
50086,2026-03-17,North,Partner,Services,21515,11318
50087,2026-03-22,North,Retail,Accessories,12570,10445
50088,2026-03-01,North,Retail,Services,15741,8031
50089,2026-03-02,North,Online,Accessories,10015,7954
50090,2026-03-01,North,Retail,Accessories,7990,5812
50091,2026-04-22,East,Retail,Core,26449,15786
50092,2026-04-09,East,Retail,Accessories,8129,7110
50093,2026-04-28,East,Online,Accessories,13422,10411
50094,2026-04-21,East,Online,Core,32500,20613
50095,2026-04-24,East,Retail,Core,20578,13292
50096,2026-04-16,East,Retail,Accessories,6150,3998
50097,2026-04-23,East,Online,Accessories,8662,6378
50098,2026-04-18,East,Retail,Core,25845,17053
50099,2026-04-03,East,Online,Services,18636,10388
50100,2026-04-07,East,Partner,Services,19639,10430
50101,2026-04-12,West,Online,Core,31098,20431
50102,2026-04-12,West,Online,Services,14236,8469
50103,2026-04-01,West,Online,Services,12755,6540
50104,2026-04-12,West,Partner,Accessories,8383,6423
50105,2026-04-11,West,Online,Core,24088,15671
50106,2026-04-24,West,Partner,Core,20982,14054
50107,2026-04-14,West,Online,Core,25126,15516
50108,2026-04-22,West,Retail,Services,11961,7487
50109,2026-04-17,West,Online,Services,16814,9340
50110,2026-04-01,West,Online,Accessories,14222,11818
50111,2026-04-03,North,Partner,Accessories,10708,8811
50112,2026-04-28,North,Online,Accessories,11699,9410
50113,2026-04-14,North,Online,Core,28632,17918
50114,2026-04-21,North,Online,Core,31914,19817
50115,2026-04-21,North,Online,Core,30695,18572
50116,2026-04-11,North,Online,Core,33178,20697
50117,2026-04-03,North,Partner,Core,20692,12528
50118,2026-04-26,North,Online,Accessories,8435,6139
